
1           Using Code generated by Postman
            //var client = new RestClient("https://octave-api.sierrawireless.io/v5.0/linkwave_technologies/device/provision");
            //client.Timeout = -1;
            //var request = new RestRequest(Method.POST);
            //request.AddHeader("X-Auth-Token", _OctaveToken);
            //request.AddHeader("X-Auth-User", _OctaveUser);
            //request.AddHeader("Content-Type", "application/json");
            //request.AddParameter("text/plain", "{\"name\": \"Test_1_Ian\",\r\n\"imei\": \"352653290106733\",\r\n\"fsn\": \"VU8103852A0210\"}", ParameterType.RequestBody);
            //IRestResponse response = client.Execute(request);

2           Code generated by Postman (to be tested)
                //    var client = new RestClient("https://octave-api.sierrawireless.io/v5.0/linkwave_technologies/device/d5db0157f43cdca9ed7dfd2f9");
                //    client.Timeout = -1;
                //    var request = new RestRequest(Method.GET);
                //    request.AddHeader("X-Auth-Token", "tWlqsEKcdUesd8Yg83rXiRitEnd1d3mY");
                //    request.AddHeader("X-Auth-User", "andrew_newton");
                //    request.AddParameter("text/plain", "", ParameterType.RequestBody);
                //    IRestResponse response = client.Execute(request);
                //    Console.WriteLine(response.Content);

                //    if (response.IsSuccessful)
                //    {
                //        string strJson = response.Content;
                //        //OC_ProvisionResult Results = new OC_ProvisionResult();
                //        var Result = JsonSerializer.Deserialize<OC_Device>(strJson);

                //    }
                //    else
                //    {
                //        //var OCP = System.Text.Json.Serialization.JsonConverter<OC_ProvisionResult>;

                //        string strJson = response.Content;
                //        //OC_ProvisionResult Results = new OC_ProvisionResult();
                //        var Result = JsonSerializer.Deserialize<OC_ProvisionResult>(strJson);
                //    }
